Latitude,Longitude,Grid,Releve
53.20114206522703,-7.086172169074416,13,51
53.200348424725235,-7.085792133584619,14,52
53.1993260839954,-7.0853253453969955,15,53
53.19837553426623,-7.08488043397665,16,54
53.197447741404176,-7.08436444401741,17,55
53.19650737568736,-7.083758683875203,18,56
53.1961573055014,-7.084219353273511,18,57
53.19708882831037,-7.084754789248109,17,58
53.19795032031834,-7.0854218211025,16,59
53.198929955251515,-7.08604384213686,15,60
53.19989123381674,-7.086684638634324,14,61
53.20064317435026,-7.087239688262343,13,62
53.200399219058454,-7.088376022875309,19,63
53.19936455693096,-7.087811920791864,20,64
