Latitude,Longitude,Grid,Releve
53.200283255428076,-7.084348602220416,2,33
53.200342850759625,-7.083625663071871,2,35
53.199696354568005,-7.083208160474896,3,36
53.19959128741175,-7.083745691925287,3,37
53.19945876952261,-7.084083147346973,3,38
53.19888942874968,-7.083949539810419,4,39
53.19877296220511,-7.083253925666213,4,40
53.19861781317741,-7.082468289881945,4,41
53.19805040024221,-7.082361923530698,5,42
53.197854976169765,-7.083229701966047,5,43
53.20105933584273,-7.085570599883795,9,44
53.20077824871987,-7.085566408932209,7,45
53.20016896817833,-7.0850988663733006,8,46
53.19981131237,-7.084919409826398,8,47
53.19924616254866,-7.084719752892852,9,48
53.19890208542347,-7.084490675479174,9,49
53.19830801803619,-7.084168391302228,10,50
53.19798728451133,-7.084028162062168,10,51
53.197586042806506,-7.083786930888891,11,52
53.19730365648866,-7.083681738004088,11,53
53.19680359214544,-7.083363560959697,12,54
53.19652933627367,-7.083512842655182,12,55
